Rank,Guild Name,Realm,Raids Week,Language,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Dead,Link
552,forever the sickes..,EU (DE)-Blackmoore,2,German,False,False,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/blackmoore/forever+the+sickest+kids
553,Overcooked,EU-Twisting Nether,2,English,True,False,False,True,False,False,False,False,https://www.wowprogress.com/guild/eu/twisting-nether/Overcooked
555,Pull bei Eins,EU (DE)-Thrall,2,German,True,False,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/thrall/Pull+bei+Eins
560,[Raid] Blue,EU-Silvermoon,2,English,True,False,False,True,False,False,False,False,https://www.wowprogress.com/team/eu/silvermoon/raid-Blue
561,fade,EU (DE)-Blackrock,2,German,True,False,False,True,False,False,False,False,https://www.wowprogress.com/guild/eu/blackrock/fade
571,Lucky Wipe,EU-Kazzak,2,English,False,False,False,False,False,False,False,False,https://www.wowprogress.com/guild/eu/kazzak/Lucky+Wipe
572,Lost and Abandoned,EU-Ravencrest,2,English,False,False,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/ravencrest/Lost+and+Abandoned
572,Dont Heal Phase One,EU-Kazzak,2,English,True,False,False,True,False,False,False,False,https://www.wowprogress.com/guild/eu/kazzak/Dont+Heal+Phase+One
595,Beware of Yeti,EU-Draenor,2,English,True,False,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/draenor/Beware+of+Yeti
595,Sordid,EU-Silvermoon,2,English,True,False,True,False,False,False,False,False,https://www.wowprogress.com/guild/eu/silvermoon/Sordid
602,Parity,EU-Draenor,2,English,False,False,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/draenor/Parity
602,Zero Logic,EU-Kazzak,2,English,True,False,True,False,False,False,False,False,https://www.wowprogress.com/guild/eu/kazzak/Zero+Logic
619,Nightshade,EU-Ravencrest,2,English,True,False,True,True,False,False,False,False,https://www.wowprogress.com/guild/eu/ravencrest/Nightshade
621,TheMisfits,EU-Ragnaros,2,English,False,True,True,True,False,False,False,False,https://www.wowprogress.com/guild/eu/ragnaros/TheMisfits
627,Friendly Friends,EU-Kazzak,2,English,False,True,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/kazzak/Friendly+Friends
627,Polar,EU-Draenor,2,English,True,False,True,True,False,False,False,False,https://www.wowprogress.com/guild/eu/draenor/Polar
629,Resync,EU (DE)-Blackhand,2,German,False,True,True,True,False,False,True,False,https://www.wowprogress.com/guild/eu/blackhand/Resync
631,Revolution,EU-Silvermoon,2,English,True,False,True,True,False,False,False,False,https://www.wowprogress.com/guild/eu/silvermoon/Revolution
632,In Denial,EU-Twisting Nether,2,English,False,False,True,True,False,False,True,False,https://www.wowprogress.com/guild/eu/twisting-nether/In+Denial
649,eXsto,EU-Tarren Mill,2,English,True,False,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/tarren-mill/eXsto
649,eXôdus,EU (DE)-Eredar,2,German,False,False,True,True,False,False,True,False,https://www.wowprogress.com/guild/eu/eredar/eX%C3%B4dus
651,Invictus Mortiferis,EU-Doomhammer,2,English,False,False,True,True,False,False,True,False,https://www.wowprogress.com/guild/eu/doomhammer/Invictus+Mortiferis
651,VooDoo,EU (DE)-Blackhand,2,German,False,False,True,True,False,False,True,False,https://www.wowprogress.com/guild/eu/blackhand/VooDoo
653,Uncoordinated,EU-Kazzak,2,English,False,False,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/kazzak/Uncoordinated
655,Amazing Stories [ Amazing Stories],EU (DE)-Blackmoore,2,German,False,False,True,True,False,False,True,False,https://www.wowprogress.com/team/eu/blackmoore/raid-Amazing+Stories
665,MIAMI,EU-Twisting Nether,2,English,True,False,True,True,False,False,False,False,https://www.wowprogress.com/guild/eu/twisting-nether/MIAMI
666,Mean Girls,EU-Draenor,2,English,True,False,True,False,False,False,False,False,https://www.wowprogress.com/guild/eu/draenor/Mean+Girls
668,Dodge breath res me,EU-Ravencrest,2,English,False,False,False,False,False,False,False,False,https://www.wowprogress.com/guild/eu/ravencrest/Dodge+breath+res+me
669,Influenza,EU-Outland,2,English,True,True,False,True,False,True,False,False,https://www.wowprogress.com/guild/eu/outland/Influenza
672,Gorilla Warfare,EU-Tarren Mill,2,English,True,False,False,True,False,False,False,False,https://www.wowprogress.com/guild/eu/tarren-mill/Gorilla+Warfare
679,value,EU (DE)-Thrall,2,German,False,True,False,True,False,False,False,False,https://www.wowprogress.com/guild/eu/thrall/value
681,Keystone Brickers,EU-Silvermoon,2,English,False,False,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/silvermoon/Keystone+Brickers
692,BGW,EU-Draenor,2,English,False,True,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/draenor/BGW
695,Die Fackaduus,EU (DE)-Blackrock,2,German,True,False,True,True,False,False,False,False,https://www.wowprogress.com/guild/eu/blackrock/Die+Fackaduus
697,proud to be hated,EU (DE)-Blackhand,2,German,False,False,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/blackhand/proud+to+be+hated
698,Zeitsturm,EU (DE)-Frostwolf,2,German,False,False,True,True,False,False,True,False,https://www.wowprogress.com/guild/eu/frostwolf/Zeitsturm
699,Momentus,EU-Tarren Mill,2,English,False,False,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/tarren-mill/Momentus
