Rank,Guild Name,Realm,Raids Week,Language,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Link
695,Hexplosive Alchemi..,EU (DE)-Blackmoore,2,German,True,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/blackmoore/Hexplosive+Alchemists
697,Huskies eSports,EU (DE)-Blackhand,2,German,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/blackhand/Huskies+eSports
698,Good Name Pending,EU-Silvermoon,2,English,False,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/silvermoon/Good+Name+Pending
706,Keine Ahnung,EU (DE)-Blackmoore,2,German,True,False,True,False,False,False,False,https://www.wowprogress.com/guild/eu/blackmoore/Keine+Ahnung
710,Tokidoki,EU-Silvermoon,2,English,True,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/silvermoon/Tokidoki
716,Mithril Knights,EU-Hellscream,2,English,True,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/hellscream/Mithril+Knights
720,Lucky Wipe,EU-Kazzak,2,English,False,False,False,False,False,False,False,https://www.wowprogress.com/guild/eu/kazzak/Lucky+Wipe
734,BGW,EU-Draenor,2,English,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/draenor/BGW
735,InnerCore,EU (DE)-Eredar,2,German,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/eredar/InnerCore
736,Alteracs Legacy,EU (DE)-Blackmoore,2,German,True,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/blackmoore/Alteracs+Legacy
737,Sugar Rush,EU-Tarren Mill,2,English,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/tarren-mill/Sugar+Rush
738,Endpoint,EU-Draenor,2,English,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/draenor/Endpoint
739,Magical Gathering,EU-Draenor,2,English,True,False,True,True,False,False,False,https://www.wowprogress.com/guild/eu/draenor/Magical+Gathering
740,Zeitsturm,EU (DE)-Frostwolf,2,German,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/frostwolf/Zeitsturm
741,Six Eggs,EU-Outland,2,English,True,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/outland/Six+Eggs
747,ÆVUM,EU (DE)-Blackhand,2,German,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/blackhand/%C3%86VUM
